0.8257096935448757+0.*I	0.5436285229346872+0.*I	0.15057068452350783+0.*I
-0.23332959379489954+0.7920285878794278*I	-0.1532351233666649+0.5207300579277806*I	-0.04467766799335793+0.1507694471843779*I
0.26711059436904744-0.7821913089968558*I	0.1760374405469582-0.5143011328472352*I	0.04647774019425465-0.14605820232971473*I
-0.4889169344293651+0.6666418162301134*I	-0.3213981732802907+0.4382116341168688*I	-0.08998521761288707+0.12745496610176088*I
0.11749936714463197-0.8190804016095818*I	0.07756164176179392-0.5385051494585528*I	0.01882845455274565-0.15149930951156193*I
0.6756526511588667-0.4782003266007621*I	0.44484477817912055-0.31436923344682566*I	0.1244831795053976-0.0862636050922041*I
-0.7396807732830322-0.37206744762038146*I	-0.48658477588848037-0.24519039962371583*I	-0.13484864751855832-0.07050645256935263*I
-0.5803928536099997-0.5908092091677932*I	-0.3817569744910049-0.3882280522162724*I	-0.1108148126549418-0.10797410642799657*I
0.6604534232301322-0.4997650941982501*I	0.4341203380784614-0.3290206351562549*I	0.12231482308064287-0.09655831296659971*I
0.12431449568426184+0.8191791051378647*I	0.08218329714860573+0.5387227031312425*I	0.026614567072309907+0.15289003356646405*I
-0.7962230346544898+0.2284120702213568*I	-0.5239850549070298+0.1506341380657735*I	-0.15053041985381593+0.04556492078590057*I
-0.7476662078676901+0.3593730726492482*I	-0.4915745066243611+0.23604713392478258*I	-0.13847359148101618+0.06398562404756711*I
0.8286505738024096-0.04824175090845188*I	0.544704139372678-0.03192207875752452*I	0.1514971982231667-0.008723501678833847*I
0.8279300870403646-0.06388856022066217*I	0.5442337320090611-0.0422266412144884*I	0.1515892074207773-0.01081334815226729*I
-0.09252772296392736+0.8254935726919957*I	-0.0604644736007151+0.5428526857610937*I	-0.017005179808637295+0.15099993999622358*I
-0.35258103451384326-0.7514463343434457*I	-0.2319558768488394-0.4947221767018049*I	-0.0693018199791189-0.14089437088978515*I
0.7380164873623379+0.3812605492761856*I	0.4858652783079486+0.25090674095944027*I	0.13863397641663178+0.06801829739086694*I
-0.2919716892473135+0.7783309732848198*I	-0.19166829867457463+0.5118011753074779*I	-0.05709663647053151+0.14338125291940068*I
0.11424351233766868+0.8230232838714195*I	0.0747316569273084+0.5414234084559458*I	0.02386559725826606+0.15630218718521455*I
-0.2879583684303001-0.7800926688066339*I	-0.18941210851575158-0.5135386185858029*I	-0.05574731127517367-0.14327742484409503*I
-0.7715803056793287-0.31003040655970815*I	-0.507339802358038-0.20430300833319365*I	-0.14674940713017107-0.0556004723230787*I
-0.31861189248547356-0.768704986318601*I	-0.20953999040740656-0.5060362254183067*I	-0.05995323401777901-0.140691698257175*I
0.7598083691608494-0.3392180392875829*I	0.49950508681040057-0.22344600437437723*I	0.14509447814140924-0.06163391505527682*I
0.4506156704221788+0.7001527377316914*I	0.2959824684779069+0.46043457921274455*I	0.08760035597948779+0.13010422238577019*I
0.12047965131034674+0.8244326655325371*I	0.07882544160120293+0.5422528617563572*I	0.024876180858499963+0.15214283416116656*I
0.8329037759544569+0.003720619866472985*I	0.5475203612859646+0.002159815921306457*I	0.15934332749034455-0.0004827612217833486*I
-0.4697001668319517+0.6882649674322359*I	-0.3085313809924189+0.4525592419398321*I	-0.08770003668266907+0.1324511465851856*I
0.5824928211583772+0.5969441786253511*I	0.38272255131484284+0.392461266210012*I	0.11033853205237679+0.10881479676729369*I
0.19116656702472348+0.8122010511321093*I	0.12530781160389148+0.5341408882379215*I	0.0351842343586892+0.14915554401971934*I
-0.8228637846702993+0.13981661137626833*I	-0.5408680232962857+0.09168751143335399*I	-0.1512703525124138+0.027248554718430084*I
0.14033960608158358-0.8218268306413263*I	0.09227690188997428-0.5409473493254963*I	0.028465418419910564-0.15701328398465783*I
0.8339786246627912-0.021570011054761834*I	0.5487947012546711-0.013865941834801901*I	0.15756154135744058-0.0007709370455537198*I
0.8343020175264082+0.015649410319222894*I	0.549008456215477+0.01060782182979287*I	0.15849694818661114+0.005883004720310367*I
-0.39231845217623396-0.7367078296536742*I	-0.2578988870849854-0.4849356631574444*I	-0.07283126108045705-0.14176774183519958*I
0.6035969314866189-0.5777383518790599*I	0.3971250152143473-0.37955674898790287*I	0.11546214154165027-0.10586232141373884*I
-0.8353327638093564+0.00606950955703197*I	-0.5496887308283004+0.004285825049005456*I	-0.15827056234551445+0.004341708421451583*I
-0.706314619880092+0.445997559311774*I	-0.46489990588523855+0.29350934587708916*I	-0.13417076273965037+0.08706758920994785*I
-0.8350112035827848+0.040305414296984365*I	-0.5494681509067746+0.02679338459929656*I	-0.15679609968863645+0.01095110600906286*I
-0.5933109862649403-0.5901132837498286*I	-0.39036466134041164-0.38769400399641485*I	-0.10938053609319562-0.10866525867716884*I
-0.31546760260974904-0.775222699339597*I	-0.20755731200632654-0.5093989167805791*I	-0.05627971786612486-0.1447808636220171*I
-0.7646526699699501-0.3405680959259302*I	-0.5030989342127109-0.22361811680222843*I	-0.14115376066373017-0.06248795051044108*I
0.5235393276484707+0.6526338977315539*I	0.3438962350959824+0.4290367714194119*I	0.0984994076087138+0.12635101267751908*I
-0.2624432054834393+0.7952554047569852*I	-0.172170207509007+0.522913960388301*I	-0.0515782463785946+0.1473259640846439*I
0.7519798718632217-0.369142691373169*I	0.49429262820062925-0.24311015038533473*I	0.14095021727822932-0.06639459461743862*I
0.7055741049137574-0.4519380973889317*I	0.46379042084813993-0.2975631963214503*I	0.1328136901296721-0.08194158480914013*I
0.5551534856389279+0.6279371383726928*I	0.3654519928141448+0.4130777539856594*I	0.10227556989736619+0.11630142428470998*I
-0.8370565570359356+0.037510342947997544*I	-0.5501329517527904+0.024380368918974223*I	-0.16072199877237395+0.00904010218994922*I
