0.8257096935448757+0.*I	0.5436285229346872+0.*I	0.15057068452350783+0.*I
-0.7962230346544898+0.2284120702213568*I	-0.5239850549070298+0.1506341380657735*I	-0.15053041985381593+0.04556492078590057*I
-0.7715803056793287-0.31003040655970815*I	-0.507339802358038-0.20430300833319365*I	-0.14674940713017107-0.0556004723230787*I
0.14033960608158358-0.8218268306413263*I	0.09227690188997428-0.5409473493254963*I	0.028465418419910564-0.15701328398465783*I
-0.7646526699699501-0.3405680959259302*I	-0.5030989342127109-0.22361811680222843*I	-0.14115376066373017-0.06248795051044108*I
0.7491842392362139+0.37698488200589453*I	0.49226440124305587+0.24767991576128096*I	0.14490706261107478+0.07058039699254598*I
0.7606795648417135-0.35823577870665274*I	0.4997948266910245-0.2358134792846065*I	0.14338329811730294-0.07123926880585124*I
0.4186326082634701+0.7308459340950996*I	0.27481384334035475+0.4806345871691284*I	0.07920323689272736+0.1426323188212982*I
0.03932038488551861+0.8431871509622999*I	0.025738971164794375+0.554606328047632*I	0.010777210107186509+0.16065053229845455*I
0.516306660132674+0.6699435823319038*I	0.3393920824915392+0.4406584430328055*I	0.09964335470429934+0.12564112778307018*I
-0.6992422366574409-0.47790753389386686*I	-0.4595981570266143-0.3136218596581578*I	-0.13382844840714636-0.09547589410967147*I
-0.3241983895841889+0.7840491039785382*I	-0.21297029944645046+0.515445393145816*I	-0.062116162737125724+0.14962937698529385*I
-0.5266471404277461+0.6658447611627807*I	-0.346280777532257+0.43734473143553154*I	-0.10154981442004793+0.13350501903635925*I
-0.8342606618607691-0.16040998880564825*I	-0.5481152053592984-0.10553763125050686*I	-0.16845364185910866-0.03176283536329337*I
0.44260241734631717-0.7263433422476476*I	0.2901302156996404-0.4769372427771415*I	0.09002412733569845-0.14789937312612264*I
0.8498270918008194-0.05117614556462749*I	0.558019787058087-0.03342338992965753*I	0.17261455457217542-0.013425964149814167*I
0.8361356191846916-0.1639342194688309*I	0.5480761069758747-0.1077191873753309*I	0.17358070101917616-0.0345077173390333*I
-0.6385331688500718-0.5649922621017951*I	-0.41888663485048416-0.370827594192755*I	-0.13007498861103572-0.11952835825221758*I
-0.10226020039459495+0.8465754991154587*I	-0.0667956427110401+0.5552136553844077*I	-0.02260747275231972+0.18027637096214535*I
-0.789353018669577+0.32450110971077983*I	-0.5172144534658735+0.2129826847682434*I	-0.16995760811109525+0.06646336134110432*I
-0.8536810016961393+0.01431204633836021*I	-0.5586958786172525+0.00902999715050487*I	-0.18676031813681923+0.0005565280796704791*I
-0.7467634167200277+0.4151926028276883*I	-0.48891984044790415+0.2720252026439064*I	-0.16281166349408072+0.08866219956392848*I
-0.8432004229441783-0.1347435568659734*I	-0.5510928569472858-0.08787463879039081*I	-0.1925039339747864-0.032475959170138215*I
-0.07239938712212705+0.8502708597092915*I	-0.047562825470260965+0.556021417236836*I	-0.016659028458948746+0.19972131759550968*I
0.8529741693910274+0.029612191552320227*I	0.5566951126713552+0.019619177988306147*I	0.20531460532861898+0.008890849558050484*I
0.5510056086113571-0.6515730514582918*I	0.35920459050331827-0.42543584986919136*I	0.1325589761115678-0.16206873685926584*I
-0.8496875140575595-0.06265495789268573*I	-0.5540860357547572-0.04122366719137012*I	-0.219149340562826-0.016912192728847166*I
0.8055760374490608+0.2761844013670207*I	0.5242045812439554+0.1799944319022847*I	0.21543048958162742+0.07053037259173264*I
0.5165300904149285-0.6748862414590812*I	0.33619174602917024-0.4386228768085656*I	0.14669072539694347-0.18837644086901972*I
-0.7642166247276295+0.36764238679358124*I	-0.496916835277273+0.23875315956782028*I	-0.2263754491352466+0.1051665846278499*I
-0.2898447267599971+0.7938201651170369*I	-0.18831722909059018+0.5147126840167544*I	-0.09130869587190707+0.2515878402313718*I
0.7077060913048289-0.45495373800702615*I	0.4587421345274036-0.2944105567679254*I	0.2395827888550044-0.15665649907137721*I
-0.7644680315634887+0.34059461634696453*I	-0.4944870550486575+0.22071510068970643*I	-0.28093171779074766+0.12220861532902506*I
-0.21542496125957414-0.7990992052958*I	-0.13903659898598197-0.5163967076812271*I	-0.09092347215984606-0.33006737987937207*I
0.8009770953691304+0.16298063346875263*I	0.5164428475604037+0.10538913663180954*I	0.37027834839341134+0.07526852677476095*I
0.7622854713273596-0.23152134882997874*I	0.4898994559292347-0.14899052038464133*I	0.4191913076834457-0.12926832822553108*I
0.7172821699699277-0.27310517064897866*I	0.46031159422021267-0.17570402208868033*I	0.47557094784513465-0.1784539434740403*I
0.6217259393016046-0.357645489161916*I	0.3981765791902504-0.22868187192060951*I	0.5238787529161218-0.30086395013231043*I
-0.2654926133530231-0.5785557488585187*I	-0.17013615393265233-0.3700711881647374*I	-0.29703591859080863-0.6568995675532318*I
0.26406074169195076-0.4629307955416344*I	0.1683030634189101-0.29585759570244574*I	0.4103485466824299-0.7232820678200388*I
0.41371239123618836+0.0645683199980299*I	0.263450337893748+0.04132453379014475*I	0.9086548745415022+0.1408516656826962*I
0.2734061183427731+0.18013915963119553*I	0.174043774842032+0.11442358813220324*I	0.8058007148528658+0.5408727100059146*I
0.2415483546887715-0.07999236759250927*I	0.15424474260373847-0.051141991548830375*I	0.947709772917408-0.3219627784029258*I
0.18697348644035178-0.07822110962373512*I	0.11872583667040887-0.050104077036888836*I	0.9342597517203058-0.4037200851024243*I
0.12338748789740316-0.10925035648313082*I	0.07899963224084239-0.0695447488734549*I	0.7810078547929494-0.6677401575768633*I
