0.8257096935448757+0.*I	0.5436285229346872+0.*I	0.15057068452350783+0.*I
0.13087468359422172+0.8137043755668656*I	0.08491871745035731+0.5274197558638551*I	-0.01133796354608204+0.18812080315888652*I
0.40817418606232225+0.7220306395163576*I	0.2632319119146855+0.46902355593608513*I	0.07094741296541696+0.13431580082728803*I
0.29982155533456334-0.7590108440951533*I	0.1929604850882515-0.4988318898270208*I	0.1099381913018109-0.19044797823440282*I
0.5462611370737086+0.6158254569525501*I	0.35802463921324273+0.3982918356071175*I	0.09265569136929047+0.16581089203337823*I
0.5674619028824104+0.5824870254176922*I	0.37343071035271125+0.38375963877605407*I	0.1742248937909389+0.14925057165863126*I
0.08464754233392267-0.8092925118059696*I	0.05296609672804645-0.5321351165788729*I	0.044971959632152295-0.22506013491825308*I
0.7914420012029103+0.2117850920776534*I	0.5144427004410974+0.14164292030896325*I	0.2113292903706654+0.016275703222678704*I
0.7390265357055072-0.34629956285499197*I	0.483145860939218-0.22189512064982655*I	0.21661909964699974-0.0727783383041251*I
-0.7198285552679997+0.3769735104617839*I	-0.4717636755868391+0.25009155898750113*I	-0.20914445283731423+0.1093372557693653*I
-0.8259508913835248+0.0022383120852059813*I	-0.5425605197594549-0.001001966545700815*I	-0.15663291157095569+0.006800593866688671*I
0.49598930637510946+0.6544327591497641*I	0.3273122120266425+0.4295870921555209*I	0.14245186178431787+0.12238076227534976*I
-0.46698402737558853+0.6852368338986375*I	-0.30299871753802343+0.44337205233994315*I	-0.08057569106073936+0.13715061610530513*I
0.7087065187160821+0.4033747689099219*I	0.46305463138448916+0.2591811367212222*I	0.1928188693188766+0.13280425104564506*I
-0.4530558836451982+0.6904037082424285*I	-0.291729923468373+0.4491517451515253*I	-0.12668700177331121+0.12901868042113573*I
0.6343068336024281+0.5265300414502327*I	0.4108391832628652+0.3466404129752507*I	0.11409508044343741+0.14146793214801165*I
-0.567931573643569+0.5855558231538344*I	-0.3667258940147992+0.38351440340001475*I	-0.17932266210561107+0.15011880310706036*I
0.6225406339891554+0.5387499293291107*I	0.41043531244445974+0.35112188825575685*I	0.1554028595051684+0.08998245772060756*I
-0.3217768404767126+0.74561849145633*I	-0.20844498736857286+0.49051988400823143*I	-0.0963076447324716+0.22156112863891075*I
0.7984615439785197-0.17967824315800113*I	0.5188087323058297-0.12075824950269237*I	0.21987771482678856-0.00992207716966496*I
0.7815340618651984+0.2504792730732094*I	0.5060958434433978+0.1655747178131538*I	0.18531439861743207+0.10338126818467405*I
-0.7652995523871164-0.27773846707694855*I	-0.5033177997608627-0.18022405259409105*I	-0.20463591500184614-0.10816951508604321*I
-0.7975187376928149+0.1654263426228353*I	-0.5190533080086244+0.1038957893855413*I	-0.23388637759784967+0.06307118122092412*I
0.111766467273089-0.8172506717114958*I	0.06892870148335249-0.5311577708032194*I	-0.010855782407511002-0.18706238248027438*I
-0.7809088222752034+0.2547330363000717*I	-0.5122123833077645+0.16895980631460245*I	-0.19059533406676157+0.02265883502454063*I
-0.8119672624104839+0.020004889174315272*I	-0.5323261484296227+0.009920805343441187*I	-0.24261642477540699+0.022586685477620237*I
0.6416863029708478-0.5230625316114792*I	0.4191597377709393-0.33682278607153704*I	0.12595462443923755-0.11062755318374014*I
-0.5848679385251873-0.5695066826379478*I	-0.3782735646227448-0.368404636598439*I	-0.15126880227579448-0.18592184623998717*I
-0.3416533302078901-0.7474892323289728*I	-0.22564565623603433-0.48403804745924817*I	-0.12130676436174517-0.16535990262047012*I
0.7888045153749277+0.23421856899096666*I	0.5180577937885624+0.1514697019225617*I	0.16647237050080893+0.08192675457592305*I
-0.20194913789329957-0.7865352833186933*I	-0.128420318171445-0.515508328270941*I	-0.04437981281309513-0.24353066742248372*I
-0.4350836178046542-0.6919453220707069*I	-0.2816391388539174-0.4471733944549895*I	-0.15383513021494014-0.1789023849539989*I
0.6009563413449407-0.5565324197607139*I	0.393250081562947-0.36652929591574446*I	0.12152683895423598-0.16885548357660538*I
-0.5240304090040352+0.6347663505421746*I	-0.3391802736870703+0.4099440628416478*I	-0.09765118103147757+0.18185310310559408*I
0.7017573875694358+0.4130122320885704*I	0.4580220350778417+0.2731538239452858*I	0.21965335792353613+0.0874417063610923*I
0.7837964614153983+0.21081952980070448*I	0.5148299234012935+0.13710231943597334*I	0.22961238143071103+0.0898224162202984*I
